h3_index,sst_mean_celsius,sst_std_celsius,sst_quality,latitude,longitude,n_points,date,confidence,anomaly_celsius
8501a44ffffffff,0.029287497,0.0035409646,1.0,70.28472,45.687504,6,2024-11-17,high,-0.07929229
8501a463fffffff,0.022166668,0.00028867464,2.0,70.520836,45.270844,3,2024-11-17,medium,-0.086413115
8501a46bfffffff,0.02175357,0.0006519892,2.0,70.53274,45.401794,7,2024-11-17,high,-0.08682621
8501a47bfffffff,0.02151875,0.0011041311,2.0,70.45486,45.312504,12,2024-11-17,high,-0.08706103
8501a483fffffff,0.031033332,0.00054848235,1.0,70.11805,43.201397,3,2024-11-17,medium,-0.077546455
8501a487fffffff,0.030399999,0.0,1.0,70.1875,43.14584,3,2024-11-17,medium,-0.078179784
8501a493fffffff,0.033995833,0.0013294237,0.6666666666666666,70.03125,43.093754,12,2024-11-17,high,-0.07458395
8501a497fffffff,0.030199999,0.005105012,0.6666666666666666,70.129166,43.00695,15,2024-11-17,high,-0.07837979
8501a4d3fffffff,0.034259997,0.0014702042,1.4666666666666666,69.851395,44.17362,15,2024-11-17,high,-0.07431979
8501a4d7fffffff,0.033612497,1.4434001e-05,2.0,69.9375,44.16667,4,2024-11-17,medium,-0.07496729
8501a643fffffff,0.027774999,0.0,1.0,70.072914,48.19792,4,2024-11-17,medium,-0.08080479
8501a647fffffff,0.027238747,0.0023042504,0.75,70.15417,48.129173,20,2024-11-17,high,-0.081341036
8501a64ffffffff,0.020525,0.0,2.0,70.166664,48.39584,6,2024-11-17,high,-0.08805478
8501a657fffffff,0.024842497,0.0022529014,1.9,70.07916,47.98334,10,2024-11-17,high,-0.083737284
8501a65bfffffff,0.026099999,0.0,1.0,69.854164,48.45834,4,2024-11-17,medium,-0.08247979
8501a67bfffffff,0.024724998,0.0031019049,2.0,70.270836,48.375004,12,2024-11-17,high,-0.08385479
8501a687fffffff,0.031656247,8.749962e-05,2.0,70.1875,46.04167,4,2024-11-17,medium,-0.076923534
8501a6b3fffffff,0.031848747,0.0005341908,1.4,70.26667,45.90834,20,2024-11-17,high,-0.07673104
8501a6b7fffffff,0.027254999,0.0010509522,2.0,70.354164,45.729176,5,2024-11-17,medium,-0.081324786
8501b02bfffffff,0.016749999,0.0,2.0,70.1875,53.85417,1,2024-11-17,low,-0.091829784
8501b02ffffffff,0.0169125,2.261289e-05,0.0,70.3125,53.54167,12,2024-11-17,high,-0.09166729
8501b067fffffff,0.016749999,0.0,2.0,70.15972,53.93056,6,2024-11-17,high,-0.091829784
8501b0a7fffffff,0.018527271,0.00021019479,1.4545454545454546,70.17614,51.956444,11,2024-11-17,high,-0.090052515
8501b0b7fffffff,0.01736923,0.0004077575,2.0,70.07211,51.70994,13,2024-11-17,high,-0.09121056
8501b1d3fffffff,0.017649999,0.001199305,1.3846153846153846,70.277245,51.831734,13,2024-11-17,high,-0.090929784
8501b393fffffff,0.016749999,0.0,2.0,70.22083,53.912506,5,2024-11-17,medium,-0.091829784
8501b503fffffff,0.022302777,0.00010491391,1.5555555555555556,70.048615,50.40973,9,2024-11-17,high,-0.08627701
8501b50bfffffff,0.022511363,0.00057195034,0.13636363636363635,70.02462,50.683716,22,2024-11-17,high,-0.08606842
